index,titles,artists
665,"Elégie in C Minor, Op. 24 (Arr. Parkin)",Gabriel Fauré
666,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms
667,"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt
668,"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",Wolfgang Amadeus Mozart
669,Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini
670,"Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King",Edvard Grieg
671,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor (Tema con variazioni. Quasi presto)",Niccolò Paganini
672,"Dolly, Op.56: 1. Berceuse",Gabriel Fauré
673,Theme From Jurassic Park,John Williams
674,"Tsar Saltan, Op. 57: Flight of the Bumblebee",André Previn
675,"Symphonic Variations on an African Air, Op.63",Samuel Coleridge-Taylor
676,The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky
677,"Symphony No. 3 in C Minor, Op. 78 ""Organ Symphony"": 2b. Maestoso - Più allegro - Molto allegro",Camille Saint-Saëns
678,"String Sextet in D Minor, Op. 70, ""Souvenir de Florence"": I. Allegro con spirito",Pyotr Ilyich Tchaikovsky
679,"Rêverie, L. 68: Rêverie",Claude Debussy
680,Theme From Schindler's List,John Williams
681,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Antonio Vivaldi
682,Young Person's Guide To The Orchestra,Benjamin Britten
683,"Sonata for 2 pianos in D, K.448: 1. Allegro con spirito",Wolfgang Amadeus Mozart
684,"The Gadfly Suite, Op. 97a: VIII. Romance",Dmitri Shostakovich
685,"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live",Francis Poulenc
686,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",Pyotr Ilyich Tchaikovsky
687,"Pelléas et Mélisande, Op. 80: 4. Sicilienne",Gabriel Fauré
688,"Goldberg Variations, BWV 988: Aria da capo - 1981 Version",Johann Sebastian Bach
689,On The Nature Of Daylight,Max Richter
690,"Ave Maria, D. 839",Franz Schubert
691,"Symphony No.3 in F, Op.90: 1. Allegro con brio - Un poco sostenuto - Tempo I",Johannes Brahms
692,Sibelius : Finlandia Op.26,Jean Sibelius
693,Piazzolla: Libertango,Alison Balsom
694,"Mephisto Waltz No. 1, S. 514",Franz Liszt
695,Merry Christmas Mr. Lawrence (Arr. Metcalfe),Jess Gillam
696,"Hungarian Dance No.5 in G Minor, WoO 1, No.5",Johannes Brahms
697,"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 2. Adagio un poco mosso - Live at Konzerthaus Berlin / 2018",Ludwig van Beethoven
698,"Symphony No.5 in E flat, Op.82: 3. Allegro molto",Jean Sibelius
699,Pini di Roma (The Pines of Rome): III. I pini del Gianiclo,Ottorino Respighi
700,"Cello Concerto No.1, Op.107: 1. Allegretto",Dmitri Shostakovich
701,"Schumann: Widmung, Op. 25 No. 1 (Arr. Liszt, S. 566a)",Robert Schumann
702,Pictures At An Exhibition: The Hut On Fowl's Legs (Baba-Yaga),Modest Mussorgsky
703,"Ravel: Miroirs, M. 43: IV. Alborada del gracioso",Maurice Ravel
704,Hedwig's Theme,John Williams
705,Carmina Burana: I. O Fortuna,Carl Orff
706,"Delius: 2 Pieces for Small Orchestra: No. 1, On Hearing the First Cuckoo in Spring",Frederick Delius
707,"St. Matthew Passion, BWV 244 / Part Two: ""Erbarme dich""",Johann Sebastian Bach
708,Appalachian Spring: VII. Doppio movimento,Aaron Copland
709,Now Sleeps The Crimson Petal (Four Madrigals On Rose Texts): Now Sleeps The Crimson Petal,Paul Mealor
710,Nascence,Austin Wintory
711,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",Antonín Dvořák
712,"Carmen, Act I: No.5 Habanera : L'amour est un oiseau rebelle (Carmen/Cigarières/Jeunes gens/Dragons)",Georges Bizet
713,"Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)",Max Bruch
714,Old Station Atmos,Xavier Ortando
715,Viento Estelar,Universo
716,Beautiful Imagination,Little Circuits
717,Nepenthe,Clyde Boudreaux
718,Lenitivo,Jeanelle Bolduc
719,Campus,Løkss
720,Sogno Illuminum,Enchanted Feel
721,Sleepy Journey,Cokobi
722,Squama,Hello Artemisia!
723,Answers,Elmer Loyd
724,La Cascada,Sayulita
725,Flashback,Chandeller
726,Nikad ne Zaboravi,Nadia Bulic
727,Ciclo Solar,Universo
728,Touha,Marie Protivová
729,Reappearance,Spacetactular
730,Shimmering Above Clouds,Jeff Birma
731,Notes,Alaskan Tapes
732,State of Unreality,Lugar
733,Cloudology,Moomu
734,Thinking of You,Penny Layn
735,Beatific,Caius Biel
736,Distant Dreams,Euloria
737,Affection,Calming Eyes
738,South of Lapland,Kevin Hutchins
739,Stimmung,Leo Baumgart
740,Blue Sphere,Sea of Waves
741,éternité,Eric Ardouin
742,Nostalgia,Will Carano
743,Nox,Wolfgang Snow
744,Origami Age,De Seu
745,Primrose,Joan Magana
746,Simien,Petros Idris
747,Et øyeblikk,Tine Mydland
748,Sdraiata accanto a me,Scintillante
749,Within the Light,Mia Pandosa
750,Deep breaths,Jirou Soller
751,Incisif,Norah Wallentin
752,Med slutna ögon,Najma Wallin
753,Endless Sky,Nils August Valentin
754,Sömn,Sanja Göransson
755,Kritagya,Elise Ryen
756,Alma,Pedro Caceres
757,Floating Rocks,Aura Lynx
758,Big Sky,Sleepy Clouds
759,Turndown Service,Adeline Verver
760,Crystal Glass,Uffe Jörgensen
761,Leticia,Kaua Correia
762,Timeframe,Sailors Of The 7 Seas
763,Rituals,Lorelle Paredes
764,Arnasa,Laila Wollo
765,Voor altijd de jouwe,Zeb Maessen
766,From Ice to Water,Debyah
767,Purity,Zims Ele
768,Pacific,Savannah De Lucia
769,Taivas,Lumi Couri
770,Anatomy of Change,Oto Roth
771,Appreciation,Vishal Casey
772,Te Urewera,Jay Belshaw
773,For You Always,Local Monocle
774,Hopeful,Unwritten Skies
775,Sedate Dawn,Quinn Joshua
776,Lost For Words,Nadine Gaertner
777,Norm and Mirza,Emotional Pleasure
778,Moments of Stillness,Hector Warrens
779,Andas,Noa Sandberg
780,Houd me vast,Niel Hupkes
781,As The Light Slowly Fades,Bliss Porter
782,Yakamoz,Esin Pierce
783,Vilán,Huma
784,Mind,From Alfie
785,Nattljus,Månvarv
786,Sequoia,Klaangen
787,Radiant Dream,Eryk Kamylla
788,Ladybugs,Serene & Pax
789,Hovering,Judithe Abelsen
790,Acércate,Pearl Melendez
791,Noraezean,Darcie Roman
792,Grandmas Tune,Aurelin
793,Kalon Senses,Mindful Changes
794,Sonhando,Nessa Manuel
795,If Only I Could Fly,Dream Flows
796,Eons,Erratic Peace
797,Eenzame stilte,Dries Wold
798,Breathe into the Still,Rnwy Lites
799,Desiderio,Artemio Li Fonti
800,Make It Last,Samira Tesfay
801,Birdcage Walk,Stone Steps
802,Bella,Massimu
803,Secrets,Selma Ström
804,Soñando contigo,Artura Ponce Valles
805,Lights Out,Solene Edgar
806,vindur,Atli Þórirsson
807,Us,From Alfie
808,Sineway,Boreal Embla
809,Dream Reality,Doris Melwin
810,Catnap,Mina Donovan
811,Evening Song,Alexander Sterling
812,Quand je te vois,Delit Quirion
813,A New Tomorrow,Dormantia
814,Waiting Room,Fugazi
815,Disorder - 2007 Remaster,Joy Division
816,Anarchy in the U.K.,Sex Pistols
817,I Wanna Be Your Dog,The Stooges
818,Where Eagles Dare,Misfits
819,I Wanna Be Sedated,Ramones
820,California Uber Alles,Dead Kennedys
821,Hope,Descendents
822,Bloodstains - Original Version,Agent Orange
823,London Calling - Remastered,The Clash
824,Uncontrollable Urge,DEVO
825,Last Caress,Misfits
826,Holiday in Cambodia,Dead Kennedys
827,Blitzkrieg Bop - 2001 Remastered Version,Ramones
828,Alternative Ulster,Stiff Little Fingers
829,New Rose,The Damned
830,God Save the Queen,Sex Pistols
831,I Fought the Law,The Clash
832,Don't Want to Know If You Are Lonely,Hüsker Dü
833,Rise Above,Black Flag
834,Los Angeles,X
835,Bad Mouth,Fugazi
836,Marquee Moon,Television
837,Pretty Vacant,Sex Pistols
838,Corona,Minutemen
839,Suburban Home,Descendents
840,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks
841,Banned In D.C.,Bad Brains
842,Damaged Goods,Gang Of Four
843,Lust For Life,Iggy Pop
844,Suspect Device,Stiff Little Fingers
845,Lexicon Devil,Germs
846,Personality Crisis,New York Dolls
847,Bastards of Young - 2008 Remaster,The Replacements
848,Sonic Reducer,Dead Boys
849,Sailin' On,Bad Brains
850,What Do I Get?,Buzzcocks
851,Viet Nam,Minutemen
852,She's Lost Control - 2007 Remaster,Joy Division
853,Minor Threat,Minor Threat
854,No Control,Bad Religion
855,Blister in the Sun - 2002 Remastered Version,Violent Femmes
856,Institutionalized,Suicidal Tendencies
857,Sound System,Operation Ivy
858,Blank Generation,Richard Hell
859,TV Party,Black Flag
860,Search and Destroy,The Stooges
861,Gut Feeling / (Slap Your Mammy),DEVO
862,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
863,Wild in the Streets,Circle Jerks
864,Can't Stay Away,Otis Kane
865,Fancy Drones (Fracture Me),Amythyst Kiah
866,Follow Me,Jessarae
867,Waste of a Pretty Face,TORA
868,Wolves All Around Me,Hebron
869,Don't Tell Me No Lies,The Deadbeat Cousins
870,OZARK,Liam St. John
871,Everything You Need,Cobi
872,Sanitarium Lovesick Blues #4702,Josh Morningstar
873,Bitter Taste,Jordan Run
874,Hey Gringo,KALEO
875,If You're Gonna Leave Me,Connor Selby
876,The Mess I Made,Kezia Gill
877,Never Let a Day Go By,Todd Snider
878,Light Shine In,Conor Gains
879,3AM in Chicago,Eddie 9V
880,"All of It, Again",Katie Buchanan
881,Parade,Jacob Banks
882,Click Click Domino (feat. Marcus King),Ida Mae
883,The Other Side (feat. J.R. & the Allnighters),Cedric Burnside
884,Horizons,Jesse Roper
885,Morning Light,Hamish Anderson
886,Rain Gonna Fall,Dirtwire
887,The Search For Happiness,Toby Lee
888,Too Bold - Diamond Remix (Radio Edit),Shingai
889,CRY,Jon Batiste
890,What A Life,Son Of Dave
891,Howl For Me Daddy,Keb' Mo'
892,Build A Fire,Adam Douglas
893,Alafia Moon,Damon Fowler
894,Dead Man's Hand,Bad Flamingo
895,Boom Boom,2WEI
896,Ten Toes Down,Talibah Safiya
897,Slippin' Away,AJ Fullerton
898,Sit Down Baby,GA-20
899,Something With Feel,Josh Teskey
900,Solo,Laura Evans
901,On Fire Like Zsa Zsa,Robin Trower
902,Angels,Félix Rabin
903,Ice Cream Man,8 Ball Aitken
904,Fading Away,Artur Menezes
905,Coldwater,Cedric Burnside
906,Homemade Disaster,Sugaray Rayford
907,I Never Like It When You Leave,Micah Edwards
908,Catfish,North Mississippi Allstars
909,United State of Mind,Robin Trower
910,Marinate (feat. Eric Debonair McNair),Davis Chris
911,Howlin',Stealth
912,Last Forever,Shanice Green
913,One More Drink (feat. Joey Landreth),TORA
914,Get Yourself Some,The Allergies
915,Platinum Junkie,Too Slim and the Taildraggers
916,Storm Came,Dave Stewart
917,Masters of War,Dani Wilde
918,Get Gone,Swamp
919,Back Down South,Larkin Poe
920,Money and Fools,Benny Walker
921,Holy Ghost Fire,Larkin Poe
922,Threw Me To The Wolves,Jared James Nichols
923,MYPPL (feat. Daichi Yamamoto),KM
924,Zuum!,Wez Atlas
925,PINK BLOOD,Hikaru Utada
926,PARADISE,TENDRE
927,きらり,Fujii Kaze
928,あーあ。,ReN
929,Friendzone,EDEN KAI
930,eye,macico
931,Presence IV,STUTS
932,美人,CHANMINA
933,Together,Sala
934,Overnight,SIRUP
935,HOLIDAY (feat. Michael Kaneko),Mizuki Ohira
936,Funny Meal,VIDEOTAPEMUSIC
937,孔雀,Tokyo Incidents
938,Night Birds (feat. Froya & 宮脇翔平),Tokimeki Records
939,ずるくない?,ぷにぷに電機
940,Amefuri no Bambina,CHAMELEON LIME WHOOPIEPIE
941,夏夜のマジック,Asako Toki
942,浮遊夢,Ayumu Imazu
943,ODDTAXI,スカートとPUNPEE
944,いい夢,YONA YONA WEEKENDERS
945,Insomnia - JP Ver.,YUKIKA
946,Natsume,Kan Sano
947,FRESH ALLDAY,Gottz
948,不思議,Gen Hoshino
949,Thinking Boyz!!!,Mega Shinnosuke
950,hyperlink,VivaOla
951,torico,D.Y.T
952,アイミル,中村佳穂
953,KIDS,Lucky Kilimanjaro
954,Broken Heart of Gold,ONE OK ROCK
955,Balmy Life,Kroi
956,フラッシュバック'82 feat. Rin音,Deep Sea Diving Club
957,キラクに (feat. AAAMYYY),NABOWA
958,分かってないよ,WurtS
959,bedicine,LHRHND
960,孤島,大越佑華
961,SHIOSAI,Mao Uchu
962,113号室,PEOPLE 1
963,Magic hour,miida and The Department
964,Love Buds,satomoka
965,The Last Day,DURDN
966,Bubbles,Kenichi Takemoto
967,Call You Mine,keita keith
968,ISSUE,Monthly Mu & New Caledonia
969,Pluto,CANDYGIRL
970,My Whole World,kukatachii
971,MO-MO,ASA Wu
972,Fog feat. Gotch,Hironori Momoi
973,春の黄昏,meatmountain
974,SMOKE,HANCE
975,Flame,Shin Sakiura
976,Here,Homecomings
977,Loyalty,LEX
978,Loop with DENIMS,さとうもかとDENIMS
979,RHYME&BEATS,IN-SIST
980,IN PINK (feat. Mndsgn),CHAI
981,TOKYO CULTURE,asobi
982,Half of Me,DYGL
983,Great Pretenders,Newspeak
984,Having a Headache,No Buses
985,いない,tricot
986,色眼鏡,BREIMEN
987,椅子の椅子,Taiko Super Kicks
988,Alright - Rework,PEARL CENTER X 環ROY
989,あなたがみえない,井戸健人
990,アスファルト,STRANGE REITARO
991,Your Closet - yonkey Remix,80KIDZ
992,Heartbeat,okkaaa
993,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,EggPlantEgg
994,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu
995,離開你以後 - 電影《你的婚禮》插曲,Eric Chou
996,Dear Life,Yisa Yu
997,飞鸟和蝉,Ren Ran
998,我很好騙,Power Station
999,走建國路回家但後座少ㄌ泥,多多 x 以捷
1000,裹著心的光,JJ Lin
1001,失重前幸褔,艾薇
1002,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),告五人
1003,"急不來的,就讓它慢吧",Ariel Tsai
1004,因為是你 - 原創影集《火神的眼淚》片頭曲,WeiBird
1005,"想見你想見你想見你(電視劇""想見你""片尾曲)",831
1006,太陽雨,理想混蛋
1007,怎麼了,Eric Chou
1008,四季予你,程響
1009,你的目光 (The Way You Felt),Alec Benjamin
1010,白月光与朱砂痣,大籽
1011,嚣张,En
1012,最美的風景 (feat. 莫宰羊),Marz23
1013,"很久以後 - 電影《可不可以,你也剛好喜歡我》主題曲",G.E.M.
1014,唯一 (三立/台視戲劇《戀愛是科學》插曲),告五人
1015,繞 - 原創影集《火神的眼淚》片尾曲,Maggie Chiang
1016,她沒在看我,E.SO
1017,一天加點愛 (feat. Karencici),Gentle Bones
1018,天黑請閉眼 feat. 邱鋒澤,Nine Chen
1019,Sweet Baby,頑童Mj116
1020,CHANGE,E.SO
1021,炙愛 - 女聲版,Vicky Chen
1022,愛我的時候,Eric Chou
1023,說好不哭,Jay Chou
1024,如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲,Eric Chou
1025,句號,G.E.M.
1026,Tides,Dizzy Dizzo
1027,少年,梦然
1028,"寫一條歌,寫你我爾爾",Ricky Hsiao
1029,他們說我是沒有用的年輕人,Good Band
1030,因為你 所以我,Mayday
1031,Something I Don't Need,E.SO
1032,不刪,井朧
1033,正想著你呢,Chih Siou
1034,So Bad,高爾宣 OSN
1035,Cold (feat. Goater),Patrick Brasca
1036,Crush On,李浩瑋 Howard Lee
1037,超能力,G.E.M.
1038,彼個所在,Waa Wei
1039,醜人多作怪 (《新斗羅大陸》手遊半週年主題曲),告五人
1040,太陽,E.SO
1041,Fall in Love,Sophie Chen
1042,家,Trash
1043,good 4 u,Olivia Rodrigo
1044,Todo De Ti,Rauw Alejandro
1045,Yonaguni,Bad Bunny
1046,MONTERO (Call Me By Your Name),Lil Nas X
1047,Kiss Me More (feat. SZA),Doja Cat
1048,Butter,BTS
1049,deja vu,Olivia Rodrigo
1050,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
1051,Levitating (feat. DaBaby),Dua Lipa
1052,traitor,Olivia Rodrigo
1053,drivers license,Olivia Rodrigo
1054,Save Your Tears (with Ariana Grande) (Remix),The Weeknd
1055,happier,Olivia Rodrigo
1056,favorite crime,Olivia Rodrigo
1057,Lost Cause,Billie Eilish
1058,Astronaut In The Ocean,Masked Wolf
1059,Leave The Door Open,Bruno Mars
1060,Fiel,Los Legendarios
1061,Pareja Del Año,Sebastian Yatra
1062,Build a Bitch,Bella Poarch
1063,brutal,Olivia Rodrigo
1064,I WANNA BE YOUR SLAVE,Måneskin
1065,ZITTI E BUONI,Måneskin
1066,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton
1067,Blinding Lights,The Weeknd
1068,RAPSTAR,Polo G
1069,AM,Nio Garcia
1070,DÁKITI,Bad Bunny
1071,"jealousy, jealousy",Olivia Rodrigo
1072,enough for you,Olivia Rodrigo
1073,2/Catorce,Rauw Alejandro
1074,Dynamite,BTS
1075,The Business,Tiësto
1076,Qué Más Pues?,J Balvin
1077,"1 step forward, 3 steps back",Olivia Rodrigo
1078,Watermelon Sugar,Harry Styles
1079,telepatía,Kali Uchis
1080,Heartbreak Anniversary,Giveon
1081,Botella Tras Botella,Gera MX
1082,EL MAKINON,KAROL G
1083,Heat Waves,Glass Animals
1084,Save Your Tears,The Weeknd
1085,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
1086,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne
1087,Your Love (9PM),ATB
1088,Rasputin,Majestic
1089,Mood (feat. iann dior),24kGoldn
1090,Miénteme,TINI
1091,hope ur ok,Olivia Rodrigo
1092,Arcade,Duncan Laurence
