index,titles,artists
323,THINK ABOUT ME,jxdn
324,How Can I Make It OK?,Wolf Alice
325,good 4 u,Olivia Rodrigo
326,White Picket Fence,psykhi
327,We're On Our Way Now,Noel Gallagher's High Flying Birds
328,Renegades,ONE OK ROCK
329,Saturday,Twenty One Pilots
330,Skinny,KALEO
331,Four Letter Words,K.Flay
332,Oblivion,Royal Blood
333,Lips,The Maine
334,Don’t Back Down,Mammoth WVH
335,"Catching Fire (feat. nothing,nowhere.)",Sum 41
336,Going Down South,The Black Keys
337,Built By Nations,Greta Van Fleet
338,Talking To Ourselves,Rise Against
339,Unbreakable,Escape the Fate
340,Death by Rock and Roll - Acoustic,The Pretty Reckless
341,Nowhere Generation,Rise Against
342,Heavy Is The Crown,Daughtry
343,Meteor,Architects
344,Citizen Erased (XX Anniversary RemiXX),Muse
345,girls (feat. phem),Royal & the Serpent
346,Nothing Lasts Forever,Kyoto Protocol
347,love race (feat. Kellin Quinn),Machine Gun Kelly
348,Broken Bells,Greta Van Fleet
349,There For Me,Chad Tepper
350,American Eyes,Bush
351,Fields of Bone,Black Veil Brides
352,Amnesia,MOD SUN
353,Choker,Twenty One Pilots
354,hollywood sucks//,KennyHoopla
355,Playing With Fire,Crowded House
356,Leave A Light On,Modest Mouse
357,Looking Tragic,AFI
358,Dulcería,AFI
359,Super Generation,Alectrona
360,It's Okay to Cry,The Penninsula
361,Tied To A Tree,AFI
362,Mettle,Adarrak
363,Calls to Tiree,Hamish Hawk
364,Roots And Wings,The Wallflowers
365,One Way Down,BVLVNCE
366,Leaving Anyway,RENE
367,We Are Between,Modest Mouse
368,Violet!,Waterparks
369,懨懨,禮韋 Thehopend
370,Let Me Talk,Gordon
371,Baby 3 Girl,呆伯特
372,In the jungle..maybe I’m just a bug.,縉 Jin
373,Show Me,Yung Kai
374,Keep Up,Jocelyn 9.4.0
375,CHILL紅塵,MC 耀宗
376,Moonlight,政学Zx
377,少数派报告,Tizzy T
378,滑進去深淵,小王子
379,忘了说再见,周凯翔
380,Yes No Maybe,KIRE
381,Harmony (feat. DenNiz),MC 耀宗
382,RESET,FRαNKIE阿法
383,Dadi (feat. Vera Chai),KIRE
384,Crazy,Hosea
385,還有什麼,MC 耀宗
386,MINE,YOUNGY
387,Cook For You,Any 安偉
388,Je t'aime,仰昭光
389,Butter,HowZ
390,Sweet Baby,頑童Mj116
391,Tides,Dizzy Dizzo
392,Hoodie,雙子GMN
393,拍毋見的蘋果,宝島材料行
394,最美的風景 (feat. 莫宰羊),Marz23
395,幾分甜,AJ 賴煜哲
396,OneFiveTwo,Peter Huang
397,SUNRISE,艾瑞
398,FOREVER,AJ 賴煜哲
399,NEED NO MORE,HUR
400,What a Life,Dizzy Dizzo
401,狗男人,李大奔
402,他只是經過,h3R3
403,回到過去的區間車 (feat. DenNiz & LENA-J),MC 耀宗
404,别叫我达芬奇,Lil Ghost小鬼
405,Rich,Jinbo
406,無所謂,Isey
407,Old Days,Jinbo
408,Dear Rosie,K!ddingboi
409,Vi$$A (feat. bbno$ & lentra),Blow Fever
410,Go Ahead,¥ellow Bucks
411,說不上快樂,Isey
412,Oh! Shit!,RPG
413,Real or Fake(劇集《腦波小姐》插曲),G22
414,玩玩而已 (feat. MC耀宗),彭柏邑
415,Promise,Harikiri
416,Smoke,Yuhao Wu
417,BURNING! (feat. Vigoz Chen),K!ddingboi
418,I Love U So,Jinbo
419,Playboy 花天酒地,Grøøvy Wave
420,SPEED UP,K!ddingboi
421,山山 (Original Version) ft.高仰辰 Tipsy Kao,大淵 MUTA
422,五告喝甲 (粉紅週末 Remix),李四
423,Hello,Gibb-Z
424,她沒在看我,E.SO
425,NOT PHYCHO,Mai
426,鷺沼台三丁目,雙子GMN
427,Black Car,VINZ-T
428,代價,邓典果DDG
